id,aant_inw,aant_man,aant_vrouw,p_00_14_jr,p_15_24_jr,p_25_44_jr,p_45_64_jr,p_65_eo_jr,bev_dichth,aantal_hh,p_eenp_hh,p_hh_z_k,p_hh_m_k,gem_hh_gr,p_west_al,p_n_w_al,p_marokko,p_ant_aru,p_surinam,p_turkije,p_over_nw,opp_tot,opp_land,opp_water,prov_name,prov_code
12,1122705,556595,566095,15,11,23,32,18,697,504430,30,35,36,2.279412000000000,14,4,1,0,0,1,2,220924,215027,-999999999,Limburg,LI
6,1998940,986935,1012000,18,12,25,29,16,550,855870,29,33,39,2.410714000000000,7,5,1,0,0,1,2,513652,497000,-999999999,Gelderland,GE
8,2669090,1313690,1355380,18,11,25,30,16,1171,1258035,32,31,37,2.301667000000000,8,7,1,0,1,1,3,409171,266592,142584,Noord-Holland,NH
2,387880,194190,193695,23,14,28,26,10,610,157550,27,28,45,2.583333000000000,7,11,2,1,3,1,4,241230,141587,99641,Flevoland,FL
1,576665,286505,290185,18,11,24,30,17,308,276950,31,34,36,2.291304000000000,5,4,0,0,0,0,2,296005,232574,63429,Groningen,GR
3,646320,322920,323395,18,11,25,29,17,263,281060,31,33,36,2.316129000000000,5,3,0,0,0,0,2,574875,334094,240780,Friesland,FR
10,381410,189180,192220,17,11,24,29,18,339,167770,31,34,34,2.276923000000000,10,4,0,0,0,0,2,293389,178605,114785,Zeeland,ZE
11,2444155,1219915,1224250,18,12,25,30,16,526,1058255,27,34,39,2.419118000000000,7,4,1,0,0,1,2,508177,491565,16612,Noord-Brabant,NB
4,490980,242780,248205,18,10,23,30,18,259,209750,29,35,36,2.308333000000000,5,3,0,0,0,0,2,268034,263893,4137,Drente,DR
5,1130345,564960,565375,19,12,25,28,16,459,477600,28,32,40,2.496000000000000,6,5,0,0,0,2,2,342087,332519,9569,Overijssel,OV
7,1220900,596780,624120,20,12,26,28,15,891,544095,30,30,39,2.406897000000000,7,7,2,0,1,1,3,144914,138380,6527,Utrecht,UT
9,3505600,1729085,1776525,18,12,26,28,16,1559,1594795,30,32,38,2.370270000000000,7,8,1,1,1,1,3,341849,281021,60826,Zuid-Holland,ZH
